국가,매체,제목,링크,요약,이미지,수집일시
국내,머니투데이,"띵동띵동…""설 선물 배송 완료"" 또 날아온 이 문자, 누르지 마세요",https://n.news.naver.com/mnews/article/008/0005317020,"방미통위, 스팸 주의 당부 불법 스팸 신고 방법./사진제공=방송미디어통신위원회 설 명절을 앞두고 방송미디어통신위원회가 국민 보이스피싱·스미싱 피해 방지를 위해 두 팔을 걷어붙였다. 방미통위가 설 명절을 앞두고 ""설날대비~200만원 받으세요"", ""설날행사 1+2=3통 행사"" 등 미끼 문자가 전송되고 있다며 11일 주의를 당부했다. 미끼 문자에 포함된 인터넷주...",https://imgnews.pstatic.net/image/008/2026/02/11/0005317020_001_20260211103114032.jpg?type=w800,2026-02-11 14:44
국내,파이낸셜뉴스,"홍범식 LG U+ 대표, MWC 기조연설 나선다",https://n.news.naver.com/mnews/article/014/0005476834,LG CEO 중 처음 홍범식 LG유플러스 대표가 지난해 MWC 205에서 LG유플러스의 AX 전략을 소개하고 있다. LG유플러스 제공 [파이낸셜뉴스] LG유플러스는 홍범식 대표가 3월 2일(현지시간) 스페인 바르셀로나에서 열리는 세계 최대 이동통신 전시회 ‘모바일월드콩그레스(MWC) 2026’의 개막식 기조 연설자로 나선다고 11일 밝혔다. LG그룹 계열사...,https://imgnews.pstatic.net/image/014/2026/02/11/0005476834_001_20260211093814719.jpg?type=w800,2026-02-11 14:44
국내,데일리안,"카카오게임즈, 신작 부재에 작년 영업손실 396억원…""본업에 집중""",https://n.news.naver.com/mnews/article/119/0003058520,"지난해 매출 4650억원, 영업손실 396억원 신작 출시 공백 및 글로벌 투자 확대 영향 '게임' 중심 사업 재정비…플랫폼 확장 추진 하반기 글로벌 공략 파이프라인 가시화 ⓒ카카오게임즈 [데일리안 = 이주은 기자] 카카오게임즈가 길어지는 신작 공백으로 지난해 부진한 실적을 거뒀다. 카카오게임즈는 지난해 연매출 4650억원, 영업손실 396억원을 기록했다고 ...",https://imgnews.pstatic.net/image/119/2026/02/11/0003058520_001_20260211084910799.jpg?type=w800,2026-02-11 14:44
국내,헤럴드경제,"NC AI, ‘K-피지컬AI 얼라이언스’ 컨소시엄 구성…53개 기관 참여",https://n.news.naver.com/mnews/article/016/0002599155,WFM·RFM 개발 목표 53개 기관 연합 데이터-모델-실증 잇는 밸류체인 구축 기업 제조·물류 현장 데이터 학습 추진 NC AI의 ‘K-피지컬AI 얼라이언스’ 컨소시엄 소개 이미지 [NC AI] [헤럴드경제=차민주 기자] NC AI가 ‘K-피지컬AI 얼라이언스’ 컨소시엄을 구성했다. 해당 컨소시엄은 정보통신기획평가원이 주관하는 ‘피지컬AI 모델 학습을 위...,https://imgnews.pstatic.net/image/016/2026/02/11/0002599155_001_20260211083707846.png?type=w800,2026-02-11 14:44
국내,뉴스1,"삼성전자, '갤럭시 언팩 2026' 초대장 공개…""당신의 삶을 더 쉽게""",https://n.news.naver.com/mnews/article/421/0008767598,26일 온라인 생중계…AI 기능 대폭 강화 예고 (서울=뉴스1) 김민수 기자 = 삼성전자가 '삼성 갤럭시 언팩 2026(Galaxy Unpacked 2026)' 초대장을 공개했다. 삼성전자는 11일 뉴스룸을 통해 '다음 AI 폰은 당신의 삶을 더 쉽게 만듭니다(The Next AI Phone Makes Your Life Easier)'라는 문구가 담긴 초대...,https://imgnews.pstatic.net/image/421/2026/02/11/0008767598_001_20260211085114417.gif?type=w800,2026-02-11 14:44
국내,강원도민일보,"과기부총리 ""쿠팡 '3000건 유출' 주장 신뢰 떨어져""",https://n.news.naver.com/mnews/article/654/0000166215,"정부 조사단 파악 유출 규모 3367만건 ""유출 정보, 하드 또는 클라우드 저장 가능…쿠팡 입장 불명확"" ▲ 최우혁 과학기술정보통신부 정보보호네트워크정책실장이 10일 서울 종로구 정부서울청사에서 쿠팡 침해사고 민관합동조사단 조사결과를 브리핑하고 있다. 연합뉴스 배경훈 부총리 겸 과학기술정보통신부 장관은 11일 쿠팡 이용자 개인정보 유출 사건과 관련해, '3...",https://imgnews.pstatic.net/image/654/2026/02/11/0000166215_001_20260211112815694.png?type=w800,2026-02-11 14:44
국내,매일경제,"삼성SDS, 美 물류혁신 콘퍼런스서 AI 접목 ‘디지털 물류 해법’ 공개",https://n.news.naver.com/mnews/article/009/0005635719,"디지털 물류 서비스 플랫폼 ‘첼로스퀘어’ 전시 부스 운영 “북미·유럽 시장 적극 공략” 삼성SDS는 지난 9~11일(현지시간) 미국 라스베이거스에서 열린 글로벌 물류 혁신 콘퍼런스 ‘매니페스트 2026’ 패널 세션에서 글로벌 공급망 리스크 대응 전략을 소개했다. 삼성SDS 미주법인 안재원 그룹장(왼쪽부터), 삼성SDS 물류사업부 임지현 상무, 삼성SDS 유...",https://imgnews.pstatic.net/image/009/2026/02/11/0005635719_001_20260211110211708.jpg?type=w800,2026-02-11 14:44
국내,연합뉴스,"과기정통부, 'K-히어로' 등 기업부설연구소 지원사업 시행",https://n.news.naver.com/mnews/article/001/0015900149,과학기술정보통신부 [과학기술정보통신부 제공] (서울=연합뉴스) 조승한 기자 = 과학기술정보통신부는 기업부설연구소 지원사업인 'K-히어로(HERO) 육성·지원사업'과 '협력·융합 과학 기술사업화 촉진 지원사업'을 공고하고 24일 설명회를 연다고 11일 밝혔다. K-히어로 사업은 우수성과 성장 가능성이 검증된 연구소에 맞춤형 지원하는 사업으로 올해는 16개 과...,https://imgnews.pstatic.net/image/001/2026/02/11/PCM20200130000205990_P4_20260211120200896.jpg?type=w800,2026-02-11 14:44
국내,연합뉴스,"산업부, 온디바이스 AI반도체 공동개발 지원…5년간 1조원 투자",https://n.news.naver.com/mnews/article/001/0015900563,김정관 장관 퓨리오사AI 찾아 'AI반도체 핵심기업 간담회' 2조원 규모 반도체 특별회계·4.5조 상생파운드리 등 추진 AI 반도체 (PG) [연합뉴스 자료사진] (서울=연합뉴스) 김동규 기자 = 정부가 인공지능(AI) 반도체 산업 육성을 위해 앞으로 5년간 1조원 규모의 'K-온디바이스 AI반도체' 공동개발 사업에 착수한다. 올해 안에 2조원 규모의 반도...,https://imgnews.pstatic.net/image/001/2026/02/11/AKR20260211111200003_02_i_P4_20260211143119549.jpg?type=w800,2026-02-11 14:44
국내,디지털데일리,"송재혁 삼성전자 CTO ""커스텀 HBM 다음 단계로…'삼성 cHBM' 준비 중""",https://n.news.naver.com/mnews/article/138/0002217815,HBM 밑바탕에 GPU 코어 탑재…'데이터 병목' [반도체레이다] 11일 세미콘 코리아 2026 기조연설에 나선 송재혁 삼성전자 CTO [디지털데일리 고성현기자] 삼성전자가 차세대 고대역폭메모리(HBM) 대응을 위해 커스텀 HBM 개발 로드맵을 공개했다. 특히 고객사의 컴퓨팅 칩(Die)을 베이스 다이에 넣은 '삼성 cHBM'을 개발해 메모리 한계를 넘겠다...,https://imgnews.pstatic.net/image/138/2026/02/11/0002217815_001_20260211142511114.jpg?type=w800,2026-02-11 14:44
